Distance_to_2019,Distance_to_2024,LandCover_2019,LandCover_2024,latitude,longitude
22.36067977,14.14213562,1,1,-8.817189092,115.220748
28.28427125,36.05551275,1,1,-8.84350973,115.1707119
10,0,1,2,-8.83407742,115.1365759
10,10,1,1,-8.796168515,115.1353183
10,14.14213562,1,1,-8.840455458,115.1556202
36.05551275,41.23105626,1,1,-8.835604556,115.1922714
36.05551275,14.14213562,1,1,-8.802187227,115.1289402
76.15773106,116.6190379,1,1,-8.784310753,115.2220955
36.05551275,36.05551275,1,1,-8.812787348,115.103967
14.14213562,20,1,1,-8.839916469,115.173856
50,41.23105626,1,1,-8.799671944,115.2296414
28.28427125,30,1,1,-8.820423027,115.2062852
14.14213562,10,1,1,-8.825184098,115.1083688
14.14213562,0,1,2,-8.836952029,115.1344199
20,10,1,1,-8.785927721,115.173856
53.85164807,10,1,1,-8.826082414,115.191463
31.6227766,10,1,1,-8.809733076,115.1078298
10,10,1,1,-8.823207805,115.0887855
14.14213562,0,1,2,-8.814404315,115.1115129
31.6227766,50,1,1,-8.820692522,115.105045
181.1077028,53.85164807,1,1,-8.772812317,115.1811323
30,10,1,1,-8.816290777,115.1219334
20,0,1,2,-8.777842883,115.1664898
50,0,1,2,-8.815751788,115.1602914
30,10,1,1,-8.831202811,115.2017936
10,10,1,1,-8.803894026,115.1216639
22.36067977,22.36067977,1,1,-8.806229646,115.1984698
20,10,1,1,-8.780088671,115.1659508
31.6227766,0,1,2,-8.815482293,115.1681966
42.42640687,20,1,1,-8.787544688,115.1548117
20,10,1,1,-8.831651969,115.2172446
14.14213562,0,1,2,-8.81647044,115.1240893
14.14213562,10,1,1,-8.827789213,115.0923788
10,14.14213562,1,1,-8.837760512,115.1695441
14.14213562,22.36067977,1,1,-8.799132955,115.2296414
22.36067977,50,1,1,-8.828418034,115.0951636
72.80109889,80.62257748,1,1,-8.78709553,115.2210175
10,36.05551275,1,1,-8.833268936,115.1063925
14.14213562,0,1,2,-8.829855338,115.1462777
98.48857802,192.3538406,1,1,-8.785568394,115.2199396
40,14.14213562,1,1,-8.81763825,115.103967
10,20,1,1,-8.829316349,115.1063027
22.36067977,10,1,1,-8.843419899,115.1105247
20,30,1,1,-8.840994447,115.1148367
10,0,1,2,-8.794551547,115.1444811
22.36067977,10,1,1,-8.781975133,115.2032309
10,0,1,2,-8.832280789,115.1554405
10,10,1,1,-8.800749923,115.1670288
30,0,1,2,-8.835155398,115.1587643
28.28427125,10,1,1,-8.830035001,115.1052247
10,10,1,1,-8.77883103,115.1672084
72.80109889,10,1,1,-8.80820594,115.1517574
30,36.05551275,1,1,-8.837940176,115.1339708
10,0,1,2,-8.80236689,115.1346894
20,0,1,2,-8.829675675,115.1248978
20,0,1,2,-8.831112979,115.1555303
22.36067977,14.14213562,1,1,-8.796078683,115.1435828
10,10,1,1,-8.779280187,115.1666695
10,0,1,2,-8.804522847,115.1195079
67.08203932,40,1,1,-8.824914604,115.1277724
14.14213562,20,1,1,-8.818087408,115.1776289
67.08203932,31.6227766,1,1,-8.825004435,115.1936189
10,14.14213562,1,1,-8.790958286,115.1507693
10,20,1,1,-8.795360031,115.2053868
20,60,1,1,-8.793204074,115.1867917
14.14213562,50,1,1,-8.801648238,115.1358572
14.14213562,50.99019514,1,1,-8.820782354,115.1360369
14.14213562,0,1,2,-8.775417432,115.1696339
22.36067977,14.14213562,1,1,-8.824645109,115.1721492
20,22.36067977,1,1,-8.825094267,115.1029789
56.56854249,10,1,1,-8.832460452,115.1388217
10,10,1,1,-8.816739935,115.2024224
10,0,1,2,-8.843869056,115.1351386
41.23105626,10,1,1,-8.829046854,115.1103451
10,0,1,2,-8.810361896,115.1229215
10,0,1,2,-8.794461716,115.1280419
31.6227766,36.05551275,1,1,-8.827250224,115.1206757
10,10,1,1,-8.82760955,115.1363962
20,10,1,1,-8.83704186,115.1030687
22.36067977,10,1,1,-8.830214664,115.1638847
14.14213562,0,1,2,-8.807487287,115.1142977
50,14.14213562,1,1,-8.81530263,115.1365759
10,10,1,1,-8.791317612,115.2102377
20,10,1,1,-8.806049983,115.199458
36.05551275,121.6552506,1,1,-8.770297035,115.1896663
22.36067977,22.36067977,1,1,-8.794821042,115.2119445
20,20,1,1,-8.835335061,115.1686457
20,10,1,1,-8.836682534,115.1566982
14.14213562,14.14213562,1,1,-8.823926457,115.1806832
10,14.14213562,1,1,-8.814224652,115.2233531
14.14213562,10,1,1,-8.821590837,115.179695
10,10,1,1,-8.795988852,115.2260481
10,30,1,1,-8.787993846,115.1997275
22.36067977,0,1,2,-8.827699381,115.1462777
10,30,1,1,-8.832190958,115.0994755
14.14213562,10,1,1,-8.816290777,115.1266046
20,20,1,1,-8.819345049,115.0877075
41.23105626,31.6227766,1,1,-8.7952702,115.1258859
53.85164807,50,1,1,-8.829316349,115.1695441
22.36067977,22.36067977,1,1,-8.812787348,115.1411573
10,0,1,2,-8.832370621,115.1536439
50.99019514,10,1,1,-8.841802931,115.1361267
20,28.28427125,1,1,-8.785658226,115.146098
10,0,1,2,-8.824195952,115.1464574
22.36067977,14.14213562,1,1,-8.800121102,115.2344024
20,10,1,1,-8.829585843,115.1877799
10,0,1,2,-8.837580849,115.1441217
22.36067977,44.72135955,1,1,-8.818267071,115.12373
20,44.72135955,1,1,-8.823926457,115.2214667
10,36.05551275,1,1,-8.838658828,115.156249
28.28427125,67.08203932,1,1,-8.817548419,115.1303775
10,0,1,2,-8.783592101,115.2016139
20,22.36067977,1,1,-8.782154796,115.2035004
10,0,1,2,-8.781346313,115.1877799
10,22.36067977,1,1,-8.776675073,115.173317
14.14213562,0,1,2,-8.816560272,115.1213045
20,22.36067977,1,1,-8.806319478,115.1267843
10,14.14213562,1,1,-8.829046854,115.1709814
10,22.36067977,1,1,-8.809912739,115.1169926
14.14213562,40,1,1,-8.821501006,115.1815815
42.42640687,28.28427125,1,1,-8.844318214,115.170622
20,40,1,1,-8.83704186,115.096511
10,10,1,1,-8.831023148,115.1638847
14.14213562,20,1,1,-8.800480428,115.2321566
